cyclist_id,file_name,total_time_sec,total_dist_km,avg_power,avg_alt,v_index
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_11_18_11_21_35.csv,5956.0,48.8889,214.242,129.887,1.042
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_11_20_14_15_53.csv,5755.0,46.0397,215.728,203.729,1.054
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_11_22_13_26_54.csv,5862.0,46.118,214.191,114.98,1.07
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_11_25_12_26_19.csv,5674.0,46.093,219.649,-29.916,1.055
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_11_27_13_34_45.csv,6136.0,48.9218,210.468,-49.334,1.061
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_11_29_12_57_08.csv,6202.0,48.9143,209.383,77.707,1.049
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_12_02_13_41_43.csv,5984.0,48.841,221.333,-60.855,1.051
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_12_04_12_36_43.csv,5982.0,48.8073,219.594,18.939,1.05
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_12_07_13_59_29.csv,6053.0,48.9078,221.979,26.088,1.06
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_12_09_12_42_30.csv,6048.0,48.8948,220.485,-13.783,1.045
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_12_10_13_13_12.csv,6121.0,48.8866,215.818,-63.098,1.052
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_12_14_11_45_58.csv,5914.0,46.1169,214.982,7.378,1.062
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_12_16_12_18_56.csv,6709.0,48.8936,213.655,30.4,1.053
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_12_18_12_44_42.csv,5926.0,48.7937,220.405,73.19,1.046
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_12_26_12_34_25.csv,8931.0,64.2663,199.634,550.271,1.231
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_12_27_13_19_39.csv,8065.0,59.6703,206.501,514.521,1.167
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_12_28_12_33_19.csv,7960.0,58.5004,200.04,513.473,1.177
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_12_30_11_28_25.csv,7870.0,58.5444,215.245,314.754,1.153
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2014_01_04_12_09_28.csv,6100.0,47.1089,217.372,204.349,1.075
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2014_01_05_14_03_49.csv,6161.0,48.8067,217.234,146.249,1.081
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2014_01_07_12_33_21.csv,5859.0,46.0922,204.796,130.58,1.077
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2014_01_08_12_19_25.csv,6093.0,48.7686,218.865,69.853,1.076
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2014_01_13_12_52_14.csv,6167.0,48.8843,208.081,133.949,1.056
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2014_01_15_12_22_54.csv,6240.0,48.9451,218.131,160.282,1.06
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2014_01_17_13_17_33.csv,5679.0,45.9902,216.3,230.365,1.056
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2014_01_19_12_41_11.csv,5978.0,48.8139,220.721,227.188,1.076
